,runtime,log_budget,log_revenue,log_popularity,log_vote_count,num_genres,is_english,is_adult,is_summer,is_holiday,is_friday_release,has_budget,has_revenue,budget_tier,is_major_studio,dir_avg_rating,dir_movie_count,dir_max_rating,dir_experienced,dir_avg_votes,num_keywords,num_prod_companies,release_month,release_quarter,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
877,90.0,0.0,0.0,2.112392641819522,5.583496308781699,2,0,0,0,1,1,0,0,0.0,1,6.209,1,6.209,0,265.0,2,3,11,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.209
878,96.0,0.0,14.150902926022964,3.044998514856909,5.579729825986222,1,0,0,0,0,0,0,1,0.0,0,6.386,1,6.386,0,264.0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.386
879,117.0,0.0,0.0,2.2949560658295547,5.575949103146316,2,1,0,0,0,0,0,0,0.0,0,6.321,1,6.321,0,263.0,3,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.321
880,122.0,0.0,0.0,2.7035735290751317,5.575949103146316,3,0,0,0,0,0,0,0,0.0,0,7.133,1,7.133,0,263.0,7,1,9,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7.133
881,92.0,0.0,0.0,2.3438230010102905,5.575949103146316,2,0,0,0,0,1,0,0,0.0,0,6.711,1,6.711,0,263.0,9,12,10,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.711
882,124.0,0.0,0.0,2.4315937735575797,5.575949103146316,3,0,0,0,0,0,0,0,0.0,0,7.481,1,7.481,0,263.0,0,6,10,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.481
883,89.0,0.0,0.0,3.4175955274717915,5.575949103146316,5,0,0,1,0,0,0,0,0.0,0,7.601,1,7.601,0,263.0,0,4,8,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.601
884,106.0,0.0,0.0,2.892480643743516,5.572154032177765,1,0,0,1,0,1,0,0,0.0,0,6.317,1,6.317,0,262.0,0,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.317
885,101.0,0.0,0.0,2.2667506399848296,5.568344503761097,1,1,0,0,1,1,0,0,0.0,0,7.418,1,7.418,0,261.0,8,1,11,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.418
886,97.0,0.0,0.0,3.1385764175834714,5.568344503761097,2,1,0,0,0,0,0,0,0.0,0,5.523,1,5.523,0,261.0,2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.523
